Wavelength,Average,Red,Green,Blue
598.3,198.,178.5,252.4,163.2
598.9,198.,181,252.4,163.2
599.4,198.,181,252.4,160.7
600,198.,181,252.4,160.7
600.5,196.,183.6,252.4,155.5
601,196.,181,252.4,155.5
601.6,196.,183.6,252.4,153
602.1,198.,186.2,252.4,155.5
602.7,198.,191.3,255,155.5
603.2,201.,196.3,255,153
603.7,201.,198.9,255,153
604.3,201.,201.5,252.4,153
604.8,201.,204,252.4,150.4
605.4,204,214.2,255,147.9
605.9,206.,221.8,255,147.9
606.4,209.,224.4,255,147.9
607,211.,229.5,255,153
607.5,214.,234.6,255,153
608.1,216.,242.3,255,155.5
608.6,219.,247.3,255,158.1
609.1,221.,249.9,255,158.1
609.7,221.,255,255,160.7
610.2,221.,255,255,160.7
610.8,221.,255,255,158.1
611.3,221.,255,255,158.1
611.8,221.,255,252.4,158.1
612.4,221.,255,252.4,158.1
612.9,221.,255,255,158.1
613.5,224.,255,255,163.2
614,227,255,255,170.9
614.5,227,252.4,255,175.9
615.1,227,252.4,255,175.9
615.6,227,252.4,255,175.9
616.2,227,252.4,255,173.4
616.7,227,252.4,255,175.9
617.2,227,252.4,255,175.9
617.8,227,252.4,255,178.5
618.3,227,252.4,255,178.5
618.9,229.,255,255,178.5
619.4,229.,255,255,181
619.9,229.,255,255,181
620.5,229.,255,255,181
621,229.,255,255,183.6
621.6,229.,255,255,183.6
622.1,229.,255,255,181
622.6,227,249.9,255,173.4
623.2,224.,249.9,255,170.9
623.7,227,252.4,255,173.4
624.3,227,252.4,255,175.9
624.8,227,252.4,255,175.9
625.3,227,252.4,255,175.9
625.9,227,252.4,252.4,175.9
626.4,227,255,252.4,175.9
627,227,255,255,175.9
627.5,227,255,252.4,170.9
628,227,255,252.4,170.9
628.6,224.,255,252.4,170.9
629.1,224.,255,252.4,170.9
629.7,227,255,249.9,173.4
630.2,227,255,249.9,175.9
630.7,227,255,249.9,178.5
631.3,229.,255,252.4,178.5
631.8,229.,255,249.9,181
632.4,227,255,249.9,181
632.9,227,255,249.9,181
633.4,229.,255,249.9,183.6
634,229.,255,249.9,183.6
634.5,229.,255,249.9,183.6
635.1,229.,255,249.9,183.6
635.6,227,255,244.8,183.6
636.1,227,255,244.8,183.6
636.7,227,255,244.8,183.6
637.2,224.,255,239.7,181
637.8,224.,255,239.7,181
638.3,224.,255,239.7,181
638.8,224.,255,239.7,183.6
639.4,224.,255,234.6,183.6
639.9,221.,252.4,229.5,178.5
640.5,219.,252.4,227,178.5
641,219.,252.4,227,178.5
641.5,219.,252.4,227,178.5
642.1,219.,252.4,227,181
642.6,219.,255,224.4,181
643.2,219.,252.4,224.4,178.5
643.7,219.,255,224.4,181
644.2,219.,255,224.4,183.6
644.8,219.,255,221.8,181
645.3,216.,252.4,219.3,181
645.9,216.,252.4,219.3,181
646.4,219.,255,219.3,181
646.9,216.,252.4,216.8,181
647.5,211.,249.9,211.6,175.9
648,211.,249.9,209.1,173.4
648.6,211.,252.4,204,175.9
649.1,211.,255,204,175.9
649.6,209.,255,204,173.4
650.2,209.,255,204,173.4
650.7,211.,255,204,175.9
651.3,211.,255,204,175.9
651.8,209.,252.4,201.5,175.9
652.3,209.,252.4,201.5,175.9
652.9,211.,255,201.5,178.5
653.4,209.,252.4,201.5,175.9
654,211.,255,201.5,178.5
654.5,211.,255,204,181
655,211.,255,201.5,181
655.6,211.,252.4,201.5,178.5
656.1,211.,252.4,201.5,178.5
656.7,214.,255,201.5,183.6
657.2,214.,255,198.9,188.7
657.7,216.,255,198.9,193.8
658.3,216.,255,198.9,193.8
658.8,216.,255,201.5,193.8
659.4,214.,255,198.9,193.8
659.9,214.,255,196.3,191.3
